service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1324,0,0,1,0,0,0,0,20260617,20260617
17827,0,0,0,0,0,0,1,20260412,20260823
18253,0,0,0,0,0,0,0,20260417,20260828
1868,1,0,0,0,0,0,0,20260525,20260525
19695,0,0,0,0,0,0,1,20260412,20260823
20462,0,0,0,0,0,0,1,20260412,20260823
22533,0,0,0,0,0,1,0,20260411,20260822
23446,0,0,0,0,0,1,0,20260411,20260822
25688,0,0,0,1,0,0,0,20260420,20260616
2573,1,1,0,1,1,0,0,20260406,20260410
2727,1,1,1,1,0,0,0,20260406,20260409
28261,0,0,0,0,0,0,0,20260406,20260616
31579,0,1,1,1,0,0,0,20260420,20260605
32068,0,1,1,1,1,0,0,20260420,20260605
3217,1,1,1,1,1,0,0,20260406,20260410
34440,0,0,1,1,0,0,0,20260420,20260617
34796,0,0,0,0,0,0,0,20260406,20260605
35285,0,0,0,0,0,0,0,20260406,20260605
37657,0,0,0,0,0,0,0,20260406,20260617
490,0,0,0,0,1,0,0,20260410,20260410
56367,0,0,0,0,0,0,0,20260413,20260828
58739,0,0,0,0,0,0,0,20260413,20260828
59228,0,0,0,0,0,0,0,20260413,20260828
62573,0,0,1,0,0,0,0,20260413,20260828
63217,0,0,1,0,0,0,0,20260408,20260828
644,0,0,1,0,0,0,0,20260408,20260408
65119,0,0,1,0,0,0,0,20260413,20260828
72554,0,1,1,1,0,0,0,20260413,20260827
7428,0,0,1,0,0,0,0,20260422,20260610
75771,0,1,1,1,0,0,0,20260406,20260827
767,0,0,0,0,1,0,0,20260703,20260703
8072,0,0,0,0,0,0,0,20260408,20260610
8752,0,0,1,0,0,0,0,20260422,20260617
90807,0,1,1,1,0,0,0,20260413,20260828
913,0,0,0,0,0,1,0,20260411,20260411
91574,0,1,1,1,1,0,0,20260413,20260828
93442,1,1,1,1,1,0,0,20260413,20260828
9396,0,0,0,0,0,0,0,20260408,20260617
94024,0,1,1,1,0,0,0,20260406,20260828
94791,0,1,1,1,1,0,0,20260406,20260828
